run_name,encoder,epochs,batch_size,lr,augment,seed,n_train_imgs,n_val_imgs,best_val_rmse255,wall_min,raw_proxy_rmse,cal_proxy_rmse,proxy_corr,cal_a,cal_b,lambda_real,best_cal_proxy_sample,loss,best_site_consistency,best_oracle_score
s1_pilot,resnet34,1.0,256.0,0.0003,True,42.0,155976.0,17328.0,3.3877,0.8,,,,,,,,,,
s1_baseline_r34,resnet34,40.0,256.0,0.0003,True,42.0,155976.0,17328.0,2.0846,27.0,,,,,,,,,,
s1_baseline_r34_proxy,,,,,,,,,,,11.9482,5.3657,0.8752,-64.256,1.6541,,,,,
e0_probe_raw,,,,,,,,,,,,5.3657,0.8752,-64.256,1.6541,,,,,
e0_probe_aligned,,,,,,,,,,,,6.5001,0.8102,-18.276,1.2361,,,,,
e1_appearance_r34,resnet34,40.0,256.0,0.0003,True,42.0,155976.0,17328.0,4.6355,28.0,,,,,,,,,,
e1_appearance_r34_proxy,,,,,,,,,,,10.214,7.1321,0.7658,-58.976,1.5619,,,,,
e2_weak_r34,resnet34,8.0,,0.0001,,42.0,,,2.636,11.2,,,,-52.608,1.5765,1.0,1.8574,,,
e2_weak_r34_proxy,,,,,,,,,,,12.5299,1.8353,0.9862,-52.436,1.5745,,,,,
e3_selftrain_r34,resnet34,12.0,,0.0001,,42.0,,,2.3437,19.4,,,,-50.372,1.5594,1.0,1.6257,,,
e3_selftrain_r34_proxy,,,,,,,,,,,12.7474,1.6092,0.9894,-49.81,1.5551,,,,,
e4a_convnext_base,convnext_tiny,40.0,256.0,0.0003,True,43.0,155976.0,17328.0,2.247,21.6,,,,,,,,,,
e5_e1weak_r34,resnet34,8.0,,0.0001,,42.0,,,5.2847,9.3,,,,-34.424,1.3165,1.0,5.3278,,,
e6a_itrmean_base,resnet34,40.0,256.0,0.0003,True,42.0,77988.0,17328.0,2.2799,12.6,,,,,,,,,,
e6b_itrmean_weak,resnet34,8.0,,0.0001,,42.0,,,3.0948,5.2,,,,-48.018,1.5356,1.0,1.9225,,,
e6b_itrmean_weak_proxy,,,,,,,,,,,12.5042,1.9336,0.9847,-47.797,1.5333,,,,,
e7a_itrmean_blur_base,resnet34,40.0,256.0,0.0003,True,42.0,77988.0,17328.0,2.3691,13.4,,,,,,,,,,
e7b_itrmean_blur_weak,resnet34,8.0,,0.0001,,42.0,,,3.8132,5.7,,,,-48.705,1.5427,1.0,2.0004,,,
e4b_convnext_itrmean_base,convnext_tiny,40.0,256.0,0.0003,True,43.0,77988.0,17328.0,2.306,13.2,,,,,,,,,,
e4c_convnext_weak,convnext_tiny,8.0,,0.0001,,43.0,,,2.4594,5.2,,,,-43.135,1.4887,1.0,1.5783,,,
e9a_itrmean_cal_base,resnet34,40.0,256.0,0.0003,True,42.0,77988.0,17328.0,2.6498,16.3,,,,,,,,,,
e9b_itrmean_cal_weak,resnet34,8.0,,0.0001,,42.0,,,3.3729,5.9,,,,-43.469,1.4929,1.0,1.9244,,,
e6a_s44_base,resnet34,40.0,256.0,0.0003,True,44.0,77988.0,17328.0,2.4015,16.1,,,,,,,,,,
e6b_s44_weak,resnet34,8.0,,0.0001,,44.0,,,3.4502,6.5,,,,-43.074,1.4941,1.0,2.0557,,,
e4b_s45_base,convnext_tiny,40.0,256.0,0.0003,True,45.0,77988.0,17328.0,2.1547,14.6,,,,,,,,,,
e4c_s45_weak,convnext_tiny,8.0,,0.0001,,45.0,,,2.4302,5.1,,,,-51.851,1.5766,1.0,1.6336,,,
e12a_r34_l1l2_base,resnet34,40.0,256.0,0.0003,True,42.0,77988.0,17328.0,2.2829,15.3,,,,,,,,l1l2,,
e12b_r34_l1l2_weak,resnet34,16.0,,0.0001,,42.0,,,2.9902,12.3,,,,-41.102,1.4669,1.0,1.8541,,,
e12c_cns_l1l2_base,convnext_small,40.0,256.0,0.0003,True,43.0,77988.0,17328.0,2.3491,22.1,,,,,,,,l1l2,,
e12d_cns_l1l2_weak,convnext_small,16.0,,0.0001,,43.0,,,2.4547,16.6,,,,-41.214,1.4755,1.0,1.5219,,,
embed_v1,resnet18,12.0,,0.0003,,,,,,2.1,,,,,,,,,0.8102,
embed_lr1.0e-4_ov1_t0.1,resnet18,16.0,,0.0001,,,,,,3.0,,,,,,,,,0.9145,
embed_lr1.0e-4_ov1_t0.2,resnet18,16.0,,0.0001,,,,,,3.3,,,,,,,,,1.0,
embed_lr1.0e-4_ov5_t0.1,resnet18,16.0,,0.0001,,,,,,3.6,,,,,,,,,0.9738,
embed_lr1.0e-4_ov5_t0.2,resnet18,16.0,,0.0001,,,,,,3.5,,,,,,,,,0.7258,
embed_lr3.0e-4_ov1_t0.1,resnet18,16.0,,0.0003,,,,,,3.0,,,,,,,,,0.9561,
embed_lr3.0e-4_ov1_t0.2,resnet18,16.0,,0.0003,,,,,,3.0,,,,,,,,,0.9008,
embed_lr3.0e-4_ov5_t0.1,resnet18,16.0,,0.0003,,,,,,3.7,,,,,,,,,0.9752,
embed_lr3.0e-4_ov5_t0.2,resnet18,16.0,,0.0003,,,,,,3.8,,,,,,,,,0.9439,
embed_v2,resnet18,20.0,,0.0001,,,,,,3.7,,,,,,,,,,0.0231
